0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9491188
0,9771688
0,9329478
0,9404417
0,9858053
0,9443004
0,9537106
0,9499199
0,9640338
0,96357
0,9636329
0,9607376
0,9972403
0,9775991
0,9821114
0,97435
0,9600301
0,9610683
0,9999195
0,9625049
0,9615093
0,9596872
0,9981574
0,9604199
0,9592461
0,9646423
0,9519853
0,9680712
0,9677513
1,025289
1,061586
0,9858847
0,9219562
0,9380302
0,9056818
0,9056818
0,9056818
0,9056818
0,9056818
0,9408462
1,018028
1,099219
1,033678
1,082809
0,9825793
0,9133791
0,8919992
0,8919992
0,8919992
0,9497877
1,054706
1,101401
1,094396
1,105731
1,118937
0,9752117
1,058561
1,278849
1,365709
1,254874
1,080767
1,088754
1,092073
1,059455
1,024909
1,020849
1,029347
1,071084
1,059731
1,051748
1,053426
1,053475
1,043764
1,043024
1,045434
1,058213
